start,end,character,arousal,valence,direction,emotion,oncue,offcue
306.0,312.0,MAN,LOW,POS,SELF,HAPPINESS,VERBAL,SCENEEND
311.0,312.0,MRSGUMP,HIGH,NEG,OTHER,FEAR,VERBAL,SCENEEND
321.0,343.0,FORREST,LOW,POS,SELF,HAPPINESS,VERBAL,SCENEEND
359.0,365.0,MRSGUMP,LOW,NEG,OTHER,ANGERRAGE,VERBAL,EMOCHANGE
365.0,372.0,MRSGUMP,HIGH,NEG,OTHER,ANGERRAGE,VERBAL,EMOCHANGE
372.0,385.0,MRSGUMP,HIGH,POS,OTHER,PRIDE,VERBAL,SCENEEND
418.0,434.0,FORRESTVO,LOW,POS,OTHER,ADMIRATION,VERBAL,SCENEEND
428.0,434.0,MRSGUMP,LOW,POS,OTHER,HAPPINESS,VERBAL,SCENEEND
437.0,447.0,MAN,LOW,NEG,OTHER,COMPASSION,VERBAL,SCENEEND
437.0,447.0,MAN,LOW,NEG,OTHER,COMPASSION,VERBAL,SCENEEND
442.0,447.0,MRSGUMP,HIGH,NEG,OTHER,ANGERRAGE,VERBAL,SCENEEND
442.0,447.0,MRSGUMP,HIGH,NEG,OTHER,ANGERRAGE,VERBAL,SCENEEND
452.0,462.0,FORREST,LOW,POS,SELF,PRIDE,VERBAL,SCENEEND
479.0,498.0,MRSGUMP,HIGH,NEG,OTHER,CONTEMPT,VERBAL,EMOCHANGE
498.0,500.0,MRSGUMP,LOW,POS,OTHER,HOPE,VERBAL,SCENEEND
500.0,507.0,MAN,LOW,NEG,OTHER,CONTEMPT,VERBAL,SCENEEND
510.0,516.0,MAN,LOW,POS,OTHER,HAPPINESS,VERBAL,SCENEEND
514.0,516.0,MRSGUMP,LOW,NEG,SELF,SADNESS,VERBAL,SCENEEND
534.0,555.0,MAN,LOW,POS,SELF,GRATIFICATION,VERBAL,SCENEEND
591.0,594.0,MRSGUMP,HIGH,POS,OTHER,HAPPINESS,AUDIO,SCENEEND
596.0,669.0,MAN,LOW,POS,OTHER,GRATIFICATION,VERBAL,SCENEEND
596.0,669.0,MAN,LOW,POS,OTHER,GRATIFICATION,VERBAL,SCENEEND
610.0,634.0,MRSGUMP,HIGH,NEG,OTHER,ANGERRAGE,VERBAL,EMOCHANGE
610.0,634.0,MRSGUMP,HIGH,NEG,OTHER,ANGERRAGE,VERBAL,EMOCHANGE
634.0,641.0,MRSGUMP,LOW,NEG,OTHER,SHAME,VERBAL,EMOCHANGE
634.0,641.0,MRSGUMP,LOW,NEG,OTHER,SHAME,VERBAL,EMOCHANGE
641.0,669.0,MRSGUMP,LOW,POS,SELF,RELIEF,VERBAL,SCENEEND
