start,end,character,arousal,valence,direction,emotion,oncue,offcue
206.0,210.0,FORREST,LOW,POS,SELF,HAPPINESS,AUDIO,EMOFADED
269.0,273.0,FORREST,HIGH,NEG,SELF,SADNESS,AUDIO FACE,SCENEEND
272.0,279.0,FORREST,HIGH,NEG,SELF,FEAR,FACE,EMOFADED
308.0,311.0,MRSGUMP,HIGH,NEG,OTHER,COMPASSION,FACE,EMOCHANGE
311.0,312.0,MRSGUMP,HIGH,NEG,OTHER,FEAR,AUDIO GESTURE FACE,SCENEEND
357.0,365.0,MRSGUMP,LOW,NEG,SELF,ANGERRAGE,AUDIO FACE,EMOCHANGE
366.0,372.0,MRSGUMP,LOW,NEG,OTHER,CONTEMPT,AUDIO CONTEXT GESTURE FACE,EMOCHANGE
373.0,386.0,MRSGUMP,HIGH,NEG,OTHER,COMPASSION,FACE,SCENEEND
418.0,421.0,FORRESTVO,HIGH,POS,OTHER,PRIDE,AUDIO VERBAL,EMOFADED
422.0,435.0,MRSGUMP,LOW,POS,OTHER,LOVE,AUDIO GESTURE FACE VERBAL,SCENEEND
434.0,445.0,MAN,LOW,NEG,OTHER,CONTEMPT,FACE VERBAL,EMOCHANGE
440.0,448.0,MRSGUMP,LOW,NEG,OTHER,ANGERRAGE,AUDIO,SCENEEND
446.0,448.0,MAN,LOW,NEG,OTHER,DISAPPOINTMENT,AUDIO GESTURE,SCENEEND
454.0,457.0,FORRESTVO,LOW,POS,SELF,PRIDE,AUDIO VERBAL,EMOFADED
463.0,493.0,MAN,HIGH,NEG,OTHER,CONTEMPT,AUDIO CONTEXT GESTURE FACE,EMOCHANGE
471.0,478.0,MRSGUMP,HIGH,NEG,OTHER,CONTEMPT,FACE,EMOCHANGE
478.0,486.0,MRSGUMP,LOW,NEG,SELF,SHAME,GESTURE FACE,EMOCHANGE
487.0,496.0,MRSGUMP,HIGH,NEG,OTHER,ANGERRAGE,AUDIO GESTURE FACE,EMOCHANGE
494.0,497.0,MAN,LOW,POS,OTHER,SATISFACTION,FACE,CHARLEFT
497.0,500.0,MRSGUMP,LOW,NEG,OTHER,HOPE,AUDIO CONTEXT FACE VERBAL,SCENEEND
500.0,508.0,FORREST,LOW,NEG,SELF,FEAR,CONTEXT FACE,SCENEEND
500.0,508.0,MAN,LOW,NEG,OTHER,SATISFACTION,AUDIO GESTURE,SCENEEND
509.0,512.0,MAN,LOW,NEG,OTHER,SATISFACTION,AUDIO GESTURE FACE,CHARLEFT
513.0,517.0,MRSGUMP,LOW,NEG,OTHER,ANGERRAGE,AUDIO CONTEXT FACE,SCENEEND
533.0,539.0,MAN,LOW,POS,OTHER,SATISFACTION,AUDIO,EMOFADED
571.0,583.0,MRSGUMP,LOW,NEG,OTHER,SADNESS,AUDIO CONTEXT FACE,EMOFADED
580.0,587.0,FORREST,LOW,NEG,SELF,SADNESS,CONTEXT GESTURE,SCENEEND
587.0,595.0,FORRESTVO,LOW,POS,SELF,LOVE,AUDIO,SCENEEND
595.0,598.0,MAN,LOW,POS,OTHER,ADMIRATION,VERBAL,CHARLEFT
633.0,638.0,MRSGUMP,LOW,NEG,OTHER,ANGERRAGE,FACE,EMOCHANGE
644.0,645.0,ELVISPRESLEY,LOW,POS,OTHER,GRATITUDE,VERBAL,EMOFADED
654.0,658.0,FORRESTVO,LOW,POS,SELF,ADMIRATION,VERBAL,EMOFADED
664.0,668.0,FORRESTVO,LOW,POS,SELF,HAPPINESS,AUDIO,EMOFADED
680.0,687.0,MRSGUMP,HIGH,NEG,SELF,SHAME,FACE,EMOCHANGE
688.0,703.0,MRSGUMP,LOW,NEG,OTHER,CONTEMPT,FACE VERBAL,SCENEEND
693.0,703.0,FORRESTVO,LOW,POS,OTHER,COMPASSION,AUDIO VERBAL,SCENEEND
703.0,706.0,FORREST,LOW,POS,OTHER,COMPASSION,FACE VERBAL,EMOFADED
709.0,713.0,FORREST,LOW,POS,SELF,HAPPINESS,AUDIO FACE,SCENEEND
713.0,718.0,MRSGUMP,LOW,POS,OTHER,HOPE,GESTURE,EMOFADED
743.0,748.0,WOMAN,LOW,POS,OTHER,HAPPINESS,FACE,CHARLEFT
755.0,758.0,BOY,LOW,NEG,OTHER,CONTEMPT,VERBAL,CHARLEFT
759.0,761.0,BOY,LOW,NEG,OTHER,CONTEMPT,VERBAL,CHARLEFT
759.0,779.0,FORREST,HIGH,NEG,SELF,SHAME,CONTEXT,SCENEEND
762.0,765.0,GIRL,LOW,NEG,OTHER,CONTEMPT,GESTURE,CHARLEFT
768.0,770.0,BOY,LOW,NEG,OTHER,CONTEMPT,VERBAL,CHARLEFT
779.0,791.0,FORREST,HIGH,POS,OTHER,LOVE,VERBAL,SCENEEND
791.0,805.0,FORRESTVO,HIGH,POS,OTHER,LOVE,AUDIO VERBAL,CHARLEFT
800.0,808.0,FORREST,HIGH,POS,OTHER,ADMIRATION,FACE,EMOFADED
809.0,839.0,JENNY,LOW,NEG,OTHER,COMPASSION,FACE VERBAL,EMOFADED
819.0,825.0,FORRESTVO,HIGH,POS,OTHER,LOVE,AUDIO,EMOFADED
847.0,865.0,FORRESTVO,HIGH,POS,OTHER,HAPPINESS,AUDIO VERBAL,
852.0,857.0,JENNY,LOW,POS,OTHER,HOPE,AUDIO GESTURE VERBAL,EMOFADED
870.0,872.0,FORREST,LOW,NEG,OTHER,FEAR,VERBAL,EMOFADED
873.0,880.0,JENNY,LOW,POS,OTHER,HOPE,VERBAL,EMOCHANGE
881.0,883.0,JENNY,LOW,POS,OTHER,RELIEF,FACE,EMOFADED
882.0,886.0,FORRESTVO,HIGH,POS,OTHER,LOVE,VERBAL,SCENEEND
886.0,893.0,FORREST,LOW,POS,SELF,GRATIFICATION,AUDIO CONTEXT FACE,EMOFADED
894.0,900.0,FORREST,LOW,POS,SELF,PRIDE,AUDIO GESTURE FACE,SCENEEND
904.0,909.0,BOY,LOW,NEG,OTHER,GLOATING,AUDIO CONTEXT VERBAL,EMOFADED
910.0,912.0,JENNY,LOW,NEG,OTHER,ANGERRAGE,AUDIO CONTEXT FACE,EMOCHANGE
913.0,946.0,JENNY,HIGH,NEG,OTHER,FEAR,AUDIO CONTEXT FACE,CHARLEFT
933.0,968.0,FORREST,HIGH,NEG,OTHER,FEAR,GESTURE FACE,EMOCHANGE
966.0,980.0,FORREST,HIGH,POS,SELF,RELIEF,FACE,SCENEEND
980.0,985.0,FORREST,HIGH,POS,SELF,PRIDE,FACE,EMOCHANGE
986.0,991.0,FORREST,HIGH,POS,SELF,HAPPINESS,AUDIO,SCENEEND
992.0,1001.0,BOY,HIGH,NEG,OTHER,ANGERRAGE,AUDIO GESTURE VERBAL,CHARLEFT
1024.0,1027.0,MAN,LOW,NEG,OTHER,CONTEMPT,VERBAL,SCENEEND
1062.0,1100.0,JENNY,HIGH,NEG,OTHER,FEAR,AUDIO CONTEXT GESTURE FACE VERBAL,CHARLEFT
1065.0,1086.0,JENNYSDAD,HIGH,NEG,OTHER,ANGERRAGE,AUDIO GESTURE FACE,CHARLEFT
1102.0,1110.0,FORRESTVO,HIGH,NEG,OTHER,COMPASSION,AUDIO,SCENEEND
1117.0,1124.0,FORRESTVO,HIGH,POS,OTHER,HAPPINESS,AUDIO VERBAL,SCENEEND
1124.0,1136.0,JENNY,HIGH,NEG,SELF,FEAR,VERBAL,SCENEEND
